Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly) 
 01/01  01:00:00,133289000.58863151,133289000.58863148 
 01/01  02:00:00,119147842.70340326,119147842.70340326 
 01/01  03:00:00,128741591.31994426,128741591.31994426 
 01/01  04:00:00,120127063.54678413,120127063.5467841 
 01/01  05:00:00,131998148.3336139,131998148.33361392 
 01/01  06:00:00,125048084.03027579,125048084.03027576 
 01/01  07:00:00,152624004.2522556,152624004.25225556 
 01/01  08:00:00,135270045.3337401,135182873.84826177 
 01/01  09:00:00,129716921.92016964,127617637.8106993 
 01/01  10:00:00,113488395.27496323,105284348.60231636 
 01/01  11:00:00,96775765.87529704,74450623.56920724 
 01/01  12:00:00,86470368.94698676,65792926.954578176 
 01/01  13:00:00,100176507.34310424,87029394.4885693 
 01/01  14:00:00,90951411.83277832,81575107.86886114 
 01/01  15:00:00,103074318.83142205,96470301.08251484 
 01/01  16:00:00,98609181.78423578,95494584.24348731 
 01/01  17:00:00,121716557.42779516,121443571.85060565 
 01/01  18:00:00,125029179.24127188,125029179.24127188 
 01/01  19:00:00,134596904.6248646,134596904.6248646 
 01/01  20:00:00,122771941.50269337,122771941.50269338 
 01/01  21:00:00,133509667.48889074,133509667.48889074 
 01/01  22:00:00,126251283.70090042,126251283.70090044 
 01/01  23:00:00,150929460.88063332,150929460.8806333 
 01/01  24:00:00,138489038.04956996,138489038.04956996 
 01/02  01:00:00,163233929.79996383,163233929.79996383 
 01/02  02:00:00,146360040.09867698,146360040.09867698 
 01/02  03:00:00,160478792.07565597,160478792.07565594 
 01/02  04:00:00,147436351.0897808,147436351.0897808 
 01/02  05:00:00,168360822.76403463,168360822.76403457 
 01/02  06:00:00,373701362.8394076,373701362.8394076 
 01/02  07:00:00,781293515.3957167,781293515.3957168 
 01/02  08:00:00,854584059.0754377,854268822.3712313 
 01/02  09:00:00,742494462.529232,736725102.3934735 
 01/02  10:00:00,613676213.067104,595341980.3000038 
 01/02  11:00:00,528612877.02128124,497893544.38433945 
 01/02  12:00:00,494226677.1908634,457407327.3335264 
