Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly) 
 01/01  01:00:00,133226774.90984315,133226774.90984315 
 01/01  02:00:00,118762290.00239067,118762290.00239065 
 01/01  03:00:00,128643661.04901226,128643661.04901223 
 01/01  04:00:00,119711580.29742086,119711580.29742086 
 01/01  05:00:00,131894896.04106674,131894896.04106674 
 01/01  06:00:00,124610605.52418104,124610605.52418101 
 01/01  07:00:00,151465113.39028263,151465113.3902827 
 01/01  08:00:00,134230371.990129,134143200.50465067 
 01/01  09:00:00,128372307.82148375,126273023.71201341 
 01/01  10:00:00,112915888.15633173,104711841.4836849 
 01/01  11:00:00,96062431.91198263,73737289.60589279 
 01/01  12:00:00,85341003.8704488,64663561.87804021 
 01/01  13:00:00,98565850.87097977,85418738.01644485 
 01/01  14:00:00,88962760.15054163,79586456.18662445 
 01/01  15:00:00,101670804.89782022,95066787.14891301 
 01/01  16:00:00,97309835.20676452,94195237.66601606 
 01/01  17:00:00,120332547.49318254,120059561.915993 
 01/01  18:00:00,123871623.35902232,123871623.35902232 
 01/01  19:00:00,133809191.13587087,133809191.13587084 
 01/01  20:00:00,122701502.85005388,122701502.85005388 
 01/01  21:00:00,133115231.69732244,133115231.69732243 
 01/01  22:00:00,126227433.13143276,126227433.13143274 
 01/01  23:00:00,150583912.67636728,150583912.67636728 
 01/01  24:00:00,138447639.75886896,138447639.75886896 
 01/02  01:00:00,162863749.8599993,162863749.8599993 
 01/02  02:00:00,146322349.27465102,146322349.27465105 
 01/02  03:00:00,160111816.63031566,160111816.63031566 
 01/02  04:00:00,147089201.00440878,147089201.00440878 
 01/02  05:00:00,168320244.5460432,168320244.5460432 
 01/02  06:00:00,372871823.359945,372871823.35994494 
 01/02  07:00:00,777539082.3668351,777539082.3668351 
 01/02  08:00:00,845091307.8389217,844776071.1347153 
 01/02  09:00:00,727619975.4357677,721850615.3000094 
 01/02  10:00:00,601173944.4988092,582839711.7317088 
 01/02  11:00:00,520128635.6724746,489409303.0355327 
 01/02  12:00:00,486524764.804104,449705414.94676703 
 01/02  13:00:00,506996044.1682594,466864268.4937512 
 01/02  14:00:00,431012269.11081666,395845574.63546014 
 01/02  15:00:00,384601709.79836196,360433920.8938511 
 01/02  16:00:00,370460416.5943179,360387571.635464 
 01/02  17:00:00,402699131.8466788,401917128.9889897 
 01/02  18:00:00,455271652.2220198,455271652.2220198 
 01/02  19:00:00,464292820.2162975,464292820.21629757 
 01/02  20:00:00,441803378.32653564,441803378.3265356 
 01/02  21:00:00,448936767.4325389,448936767.432539 
 01/02  22:00:00,438638874.59232235,438638874.59232247 
 01/02  23:00:00,75402743.90247798,75402743.90247798 
 01/02  24:00:00,71865988.08834744,71865988.08834744 
 01/03  01:00:00,70822648.80412905,70822648.80412905 
 01/03  02:00:00,84404342.74425648,84404342.74425647 
 01/03  03:00:00,92115418.46299729,92115418.46299729 
 01/03  04:00:00,98628317.67456943,98628317.67456943 
 01/03  05:00:00,113356559.52831018,113356559.52831016 
 01/03  06:00:00,247030735.1223787,247030735.1223787 
 01/03  07:00:00,560990476.0808439,560990476.080844 
 01/03  08:00:00,642988965.2894487,642249275.9780605 
 01/03  09:00:00,547574348.2473203,538538153.5440947 
 01/03  10:00:00,449101709.3151064,429645680.88437587 
 01/03  11:00:00,383890493.92940605,352371581.4185053 
 01/03  12:00:00,356006702.2565334,317403968.15907204 
 01/03  13:00:00,383398230.0525405,342746130.75347376 
 01/03  14:00:00,313838913.8661674,279912856.1351497 
 01/03  15:00:00,288937442.93396294,267264081.27284756 
 01/03  16:00:00,304560212.2535432,296302297.82016873 
 01/03  17:00:00,342001753.36532277,341127064.344862 
 01/03  18:00:00,373587035.6143363,373587035.61433625 
 01/03  19:00:00,380009192.8521215,380009192.8521216 
 01/03  20:00:00,353422074.56329083,353422074.56329083 
 01/03  21:00:00,353018680.24747336,353018680.24747336 
 01/03  22:00:00,350335728.5985332,350335728.5985333 
 01/03  23:00:00,75402743.90247798,75402743.90247798 
 01/03  24:00:00,71865988.08834744,71865988.08834744 
 01/04  01:00:00,58588651.21819277,58588651.21819277 
 01/04  02:00:00,61629599.36336781,61629599.36336781 
 01/04  03:00:00,66637662.99300608,66637662.99300608 
 01/04  04:00:00,69609952.9854386,69609952.9854386 
 01/04  05:00:00,76266565.27306966,76266565.27306966 
 01/04  06:00:00,193102431.62963298,193102431.62963298 
 01/04  07:00:00,438405326.11999345,438405326.1199934 
 01/04  08:00:00,533045547.61487,532802396.219507 
 01/04  09:00:00,435314440.6239651,429479373.4394303 
 01/04  10:00:00,352218757.4924026,334984779.01700115 
 01/04  11:00:00,309864190.4462291,278962522.01018107 
 01/04  12:00:00,293730130.830457,254613510.35138267 
 01/04  13:00:00,327081383.92379284,286648097.44635785 
 01/04  14:00:00,279689799.93759805,244292075.68909 
 01/04  15:00:00,261935251.0728967,237465823.25708473 
 01/04  16:00:00,264297705.40187326,253876354.61023712 
 01/04  17:00:00,297482950.68511736,296622693.8719699 
 01/04  18:00:00,312069501.2759359,312069501.27593595 
 01/04  19:00:00,321551376.04607815,321551376.0460781 
 01/04  20:00:00,304486673.6498779,304486673.6498779 
 01/04  21:00:00,311581841.48797584,311581841.4879758 
 01/04  22:00:00,320007137.1033156,320007137.10331565 
 01/04  23:00:00,75402743.90247798,75402743.90247798 
 01/04  24:00:00,71865988.08834744,71865988.08834744 
 01/05  01:00:00,61375287.06084129,61375287.06084129 
 01/05  02:00:00,71169152.55533254,71169152.55533254 
 01/05  03:00:00,75320139.44768994,75320139.44768995 
 01/05  04:00:00,79939420.08880556,79939420.08880556 
 01/05  05:00:00,82785544.4921184,82785544.4921184 
 01/05  06:00:00,227478060.0109101,227478060.0109101 
 01/05  07:00:00,468334204.2213675,468334204.2213676 
 01/05  08:00:00,556812166.0735676,556507424.4680384 
 01/05  09:00:00,482619335.9160485,475111141.4885398 
 01/05  10:00:00,391395206.17188543,367730553.30857736 
 01/05  11:00:00,337888545.615846,300254456.01994103 
 01/05  12:00:00,323365905.59078586,281836416.82347804 
 01/05  13:00:00,351031202.7137314,317935757.4138692 
 01/05  14:00:00,318942093.28193164,286319914.86269575 
 01/05  15:00:00,307079466.0955016,287661839.2507429 
 01/05  16:00:00,301153735.31713545,289741647.1860072 
 01/05  17:00:00,346770727.36463666,345605782.12115425 
 01/05  18:00:00,373161487.04382867,373161487.04382855 
 01/05  19:00:00,379481192.04132307,379481192.0413231 
 01/05  20:00:00,371033441.65869814,371033441.6586981 
 01/05  21:00:00,376433409.97858,376433409.9785799 
 01/05  22:00:00,382506089.0577519,382506089.057752 
 01/05  23:00:00,75402743.90247798,75402743.90247798 
 01/05  24:00:00,86793456.01512897,86793456.01512896 
 01/06  01:00:00,86191700.76533324,86191700.76533324 
 01/06  02:00:00,99943587.99040729,99943587.9904073 
 01/06  03:00:00,106778185.08352408,106778185.08352408 
 01/06  04:00:00,118117748.67223649,118117748.6722365 
 01/06  05:00:00,133179632.8559268,133179632.8559268 
 01/06  06:00:00,267335618.9041023,267335618.9041023 
 01/06  07:00:00,521687544.94141465,521687544.94141465 
 01/06  08:00:00,635424693.0476123,635255307.3483483 
 01/06  09:00:00,571848970.6540241,566517698.9376799 
 01/06  10:00:00,495556488.04043794,479304057.0001197 
 01/06  11:00:00,405629998.016238,373707810.9341978 
 01/06  12:00:00,372427870.8048036,330782985.717312 
 01/06  13:00:00,385074581.4574924,345061039.43898284 
 01/06  14:00:00,346285978.3527848,317728624.92823875 
 01/06  15:00:00,329915125.48678076,307680150.6659256 
 01/06  16:00:00,335641788.9022002,323289616.42763376 
 01/06  17:00:00,382016121.96744007,380681633.1226993 
 01/06  18:00:00,397478497.6898731,397478497.68987316 
 01/06  19:00:00,390924581.4148032,390924581.41480315 
 01/06  20:00:00,375227586.7498886,375227586.7498886 
 01/06  21:00:00,373569826.25769174,373569826.2576917 
 01/06  22:00:00,377602313.9405341,377602313.9405342 
 01/06  23:00:00,75402743.90247798,75402743.90247798 
 01/06  24:00:00,81106509.68472645,81106509.68472645 
 01/07  01:00:00,68240123.25326562,68240123.25326562 
 01/07  02:00:00,74285976.85565133,74285976.85565133 
 01/07  03:00:00,85872941.92293495,85872941.92293495 
 01/07  04:00:00,93935110.7624348,93935110.7624348 
 01/07  05:00:00,113050849.20526268,113050849.20526266 
 01/07  06:00:00,255248940.82028505,255248940.820285 
 01/07  07:00:00,512656215.23062605,512656215.23062605 
 01/07  08:00:00,584445499.955537,584239360.7067688 
 01/07  09:00:00,443186208.8518829,437399102.1262129 
 01/07  10:00:00,363338857.38632697,343325191.3900938 
 01/07  11:00:00,315330487.45802933,284885621.09404933 
 01/07  12:00:00,333663508.1035986,308289673.30766624 
 01/07  13:00:00,284083212.4938494,244998837.945324 
 01/07  14:00:00,270601131.379778,237851843.36886692 
 01/07  15:00:00,277459616.8696583,262576887.85879055 
 01/07  16:00:00,312562555.62784266,303725760.6831544 
 01/07  17:00:00,339241849.30681604,337304042.99375194 
 01/07  18:00:00,71603744.34246938,71603744.34246941 
 01/07  19:00:00,67996197.89814085,67996197.89814088 
 01/07  20:00:00,66478175.31924352,66478175.31924353 
 01/07  21:00:00,83781804.5586602,83781804.5586602 
 01/07  22:00:00,88825299.1924298,88825299.19242981 
 01/07  23:00:00,109746792.26798046,109746792.26798047 
 01/07  24:00:00,105163997.13746351,105163997.13746351 
 01/08  01:00:00,121357383.11248173,121357383.11248174 
 01/08  02:00:00,114369502.62515771,114369502.6251577 
 01/08  03:00:00,142583397.07576633,142583397.07576633 
 01/08  04:00:00,127073340.61896414,127073340.61896414 
 01/08  05:00:00,150635350.970555,150635350.97055504 
 01/08  06:00:00,135635799.9361859,135635799.9361859 
 01/08  07:00:00,168074543.64078137,168074543.64078143 
 01/08  08:00:00,138945988.37444234,138523316.51947117 
 01/08  09:00:00,126801403.71238124,121328130.25410736 
 01/08  10:00:00,86929092.53064373,68800295.86943337 
 01/08  11:00:00,100898215.7214658,74393917.63528189 
 01/08  12:00:00,86412580.00824514,54596800.24679767 
 01/08  13:00:00,64578237.35727082,27332968.542970713 
 01/08  14:00:00,59194862.26448799,23527637.61455906 
 01/08  15:00:00,59841103.25544558,36191077.43003495 
 01/08  16:00:00,59625927.89672116,49264936.94026808 
 01/08  17:00:00,76312184.0654252,74880465.37007825 
 01/08  18:00:00,97906782.88683583,97906782.88683583 
 01/08  19:00:00,106694533.53186765,106694533.53186765 
 01/08  20:00:00,100362553.18648893,100362553.18648893 
 01/08  21:00:00,108622132.31516045,108622132.31516045 
 01/08  22:00:00,102281060.25963195,102281060.25963193 
 01/08  23:00:00,113438935.75018166,113438935.75018167 
 01/08  24:00:00,110132633.23304568,110132633.23304568 
 01/09  01:00:00,129352158.73326541,129352158.7332654 
 01/09  02:00:00,121111195.27843422,121111195.27843422 
 01/09  03:00:00,130761801.08428022,130761801.08428022 
 01/09  04:00:00,121405538.60414192,121405538.60414192 
 01/09  05:00:00,136479887.81570196,136479887.81570202 
 01/09  06:00:00,288445872.34387076,288445872.34387076 
 01/09  07:00:00,606085584.1242131,606085584.1242132 
 01/09  08:00:00,680433386.751497,680053416.713845 
 01/09  09:00:00,551671556.4177563,546169506.8633251 
 01/09  10:00:00,450703265.46847767,435795292.74989414 
 01/09  11:00:00,439372763.20165646,426762710.1453897 
 01/09  12:00:00,416135813.45916206,398430445.4162472 
 01/09  13:00:00,400673203.29275954,365898448.36235845 
 01/09  14:00:00,334039833.86818767,301325333.68441385 
 01/09  15:00:00,306080490.05157965,285143763.19074184 
 01/09  16:00:00,297007427.8456849,285981071.3382553 
