Time,PACU_VAV_BOT:DesPer 1:Des Heat Mass Flow [kg/s],PACU_VAV_BOT:DesPer 1:Des Heat Cap [W],PACU_VAV_BOT:DesPer 1:Des Cool Mass Flow [kg/s],PACU_VAV_BOT:DesPer 1:Des Sens Cool Cap [W],PACU_VAV_BOT:DesPer 1:Des Tot Cool Cap [W],PACU_VAV_BOT:DesPer 2:Des Heat Mass Flow [kg/s],PACU_VAV_BOT:DesPer 2:Des Heat Cap [W],PACU_VAV_BOT:DesPer 2:Des Cool Mass Flow [kg/s],PACU_VAV_BOT:DesPer 2:Des Sens Cool Cap [W],PACU_VAV_BOT:DesPer 2:Des Tot Cool Cap [W],PACU_VAV_MID:DesPer 1:Des Heat Mass Flow [kg/s],PACU_VAV_MID:DesPer 1:Des Heat Cap [W],PACU_VAV_MID:DesPer 1:Des Cool Mass Flow [kg/s],PACU_VAV_MID:DesPer 1:Des Sens Cool Cap [W],PACU_VAV_MID:DesPer 1:Des Tot Cool Cap [W],PACU_VAV_MID:DesPer 2:Des Heat Mass Flow [kg/s],PACU_VAV_MID:DesPer 2:Des Heat Cap [W],PACU_VAV_MID:DesPer 2:Des Cool Mass Flow [kg/s],PACU_VAV_MID:DesPer 2:Des Sens Cool Cap [W],PACU_VAV_MID:DesPer 2:Des Tot Cool Cap [W],PACU_VAV_TOP:DesPer 1:Des Heat Mass Flow [kg/s],PACU_VAV_TOP:DesPer 1:Des Heat Cap [W],PACU_VAV_TOP:DesPer 1:Des Cool Mass Flow [kg/s],PACU_VAV_TOP:DesPer 1:Des Sens Cool Cap [W],PACU_VAV_TOP:DesPer 1:Des Tot Cool Cap [W],PACU_VAV_TOP:DesPer 2:Des Heat Mass Flow [kg/s],PACU_VAV_TOP:DesPer 2:Des Heat Cap [W],PACU_VAV_TOP:DesPer 2:Des Cool Mass Flow [kg/s],PACU_VAV_TOP:DesPer 2:Des Sens Cool Cap [W],PACU_VAV_TOP:DesPer 2:Des Tot Cool Cap [W]
00:10:00,8.236324E-01,3.227773E+04,8.236324E-01,0.000000E+00,0.000000E+00,8.236324E-01,0.000000E+00,9.566332E-01,9.230221E+03,2.603387E+04,9.142890E-01,3.583052E+04,8.236324E-01,0.000000E+00,0.000000E+00,8.236324E-01,0.000000E+00,8.236324E-01,7.946943E+03,2.241438E+04,1.210358E+00,4.247446E+04,8.236324E-01,0.000000E+00,0.000000E+00,8.236324E-01,0.000000E+00,8.236324E-01,7.946943E+03,2.241438E+04
00:20:00,8.236324E-01,3.227773E+04,8.236324E-01,0.000000E+00,0.000000E+00,8.236324E-01,0.000000E+00,9.615242E-01,9.174996E+03,2.606118E+04,9.279847E-01,3.636724E+04,8.236324E-01,0.000000E+00,0.000000E+00,8.236324E-01,0.000000E+00,8.236324E-01,7.859213E+03,2.232375E+04,1.227819E+00,4.239126E+04,8.236324E-01,0.000000E+00,0.000000E+00,8.236324E-01,0.000000E+00,8.236324E-01,7.859213E+03,2.232375E+04
00:30:00,8.243801E-01,3.230703E+04,8.236324E-01,0.000000E+00,0.000000E+00,8.236324E-01,0.000000E+00,9.658778E-01,9.113658E+03,2.607290E+04,9.399359E-01,3.683560E+04,8.236324E-01,0.000000E+00,0.000000E+00,8.236324E-01,0.000000E+00,8.236324E-01,7.771484E+03,2.223313E+04,1.244322E+00,4.231349E+04,8.236324E-01,0.000000E+00,0.000000E+00,8.236324E-01,0.000000E+00,8.236324E-01,7.771484E+03,2.223313E+04
00:40:00,8.261847E-01,3.237775E+04,8.236324E-01,0.000000E+00,0.000000E+00,8.236324E-01,0.000000E+00,9.698023E-01,9.047390E+03,2.607215E+04,9.504354E-01,3.724708E+04,8.236324E-01,0.000000E+00,0.000000E+00,8.236324E-01,0.000000E+00,8.236324E-01,7.683755E+03,2.214252E+04,1.259508E+00,4.224265E+04,8.236324E-01,0.000000E+00,0.000000E+00,8.236324E-01,0.000000E+00,8.236324E-01,7.683755E+03,2.214252E+04
00:50:00,8.293633E-01,3.250232E+04,8.236324E-01,0.000000E+00,0.000000E+00,8.236324E-01,0.000000E+00,9.733993E-01,8.977265E+03,2.606174E+04,9.597838E-01,3.761343E+04,8.236324E-01,0.000000E+00,0.000000E+00,8.236324E-01,0.000000E+00,8.236324E-01,7.596026E+03,2.205189E+04,1.273635E+00,4.217736E+04,8.236324E-01,0.000000E+00,0.000000E+00,8.236324E-01,0.000000E+00,8.236324E-01,7.596026E+03,2.205189E+04
01:00:00,8.322824E-01,3.261672E+04,8.236324E-01,0.000000E+00,0.000000E+00,8.236324E-01,0.000000E+00,9.767352E-01,8.903993E+03,2.604359E+04,9.681708E-01,3.794212E+04,8.236324E-01,0.000000E+00,0.000000E+00,8.236324E-01,0.000000E+00,8.236324E-01,7.508296E+03,2.196127E+04,1.286926E+00,4.211645E+04,8.236324E-01,0.000000E+00,0.000000E+00,8.236324E-01,0.000000E+00,8.236324E-01,7.508296E+03,2.196127E+04
01:10:00,8.349431E-01,3.272099E+04,8.236324E-01,0.000000E+00,0.000000E+00,8.236324E-01,0.000000E+00,9.812470E-01,8.875445E+03,2.609191E+04,9.757651E-01,3.823973E+04,8.236324E-01,0.000000E+00,0.000000E+00,8.236324E-01,0.000000E+00,8.236324E-01,7.449810E+03,2.190085E+04,1.299589E+00,4.205886E+04,8.236324E-01,0.000000E+00,0.000000E+00,8.236324E-01,0.000000E+00,8.236324E-01,7.449810E+03,2.190085E+04
01:20:00,8.387151E-01,3.286881E+04,8.236324E-01,0.000000E+00,0.000000E+00,8.236324E-01,0.000000E+00,9.856026E-01,8.844854E+03,2.613542E+04,9.826818E-01,3.851079E+04,8.236324E-01,0.000000E+00,0.000000E+00,8.236324E-01,0.000000E+00,8.236324E-01,7.391324E+03,2.184043E+04,1.311767E+00,4.200387E+04,8.236324E-01,0.000000E+00,0.000000E+00,8.236324E-01,0.000000E+00,8.236324E-01,7.391324E+03,2.184043E+04
01:30:00,8.427382E-01,3.302648E+04,8.236324E-01,0.000000E+00,0.000000E+00,8.236324E-01,0.000000E+00,9.898115E-01,8.812339E+03,2.617443E+04,9.890180E-01,3.875911E+04,8.236324E-01,0.000000E+00,0.000000E+00,8.236324E-01,0.000000E+00,8.236324E-01,7.332838E+03,2.178001E+04,1.323429E+00,4.195157E+04,8.236324E-01,0.000000E+00,0.000000E+00,8.236324E-01,0.000000E+00,8.236324E-01,7.332838E+03,2.178001E+04
01:40:00,8.474089E-01,3.320952E+04,8.236324E-01,0.000000E+00,0.000000E+00,8.236324E-01,0.000000E+00,9.938972E-01,8.778137E+03,2.620957E+04,9.948529E-01,3.898777E+04,8.236324E-01,0.000000E+00,0.000000E+00,8.236324E-01,0.000000E+00,8.236324E-01,7.274352E+03,2.171960E+04,1.334582E+00,4.190187E+04,8.236324E-01,0.000000E+00,0.000000E+00,8.236324E-01,0.000000E+00,8.236324E-01,7.274352E+03,2.171960E+04
